D0001 , 柳州路c座分店 , 柳州路c座 , (429)63869128
D0002 , 宰街d座分店 , 宰街d座 , (903)57982363
D0003 , 郑州路z座分店 , 郑州路z座 , (303)74668951
D0004 , 太原街n座分店 , 太原街n座 , (185)64438262
D0005 , 台北街m座分店 , 台北街m座 , (535)75582617
D0006 , 钦街a座分店 , 钦街a座 , (140)74002280
D0007 , 马鞍山街Z座分店 , 马鞍山街Z座 , (798)89234454
D0008 , 兴安盟路i座分店 , 兴安盟路i座 , (266)42711396
D0009 , 空街b座分店 , 空街b座 , (271)75476369
D0010 , 海口街y座分店 , 海口街y座 , (102)24203691
D0011 , 曾街l座分店 , 曾街l座 , (264)42822954
D0012 , 骆路f座分店 , 骆路f座 , (250)20818851
D0013 , 毛街j座分店 , 毛街j座 , (130)51834914
D0014 , 冉路Q座分店 , 冉路Q座 , (987)75926385
D0015 , 甫街C座分店 , 甫街C座 , (753)65173293
D0016 , 贵阳街r座分店 , 贵阳街r座 , (859)91029044
D0017 , 南京街g座分店 , 南京街g座 , (942)28344499
D0018 , 寇街C座分店 , 寇街C座 , (252)75659450
D0019 , 蓬路Y座分店 , 蓬路Y座 , (340)50233442
D0020 , 丁路p座分店 , 丁路p座 , (826)65292745
D0021 , 糜路r座分店 , 糜路r座 , (287)96103166
D0022 , 南宁街P座分店 , 南宁街P座 , (728)28471353
D0023 , 银川路C座分店 , 银川路C座 , (340)72963358
D0024 , 隆街M座分店 , 隆街M座 , (495)42166287
